,inputs,outputs
0,where's the nearest parking garage,the nearest parking garage is dish parking at 550 alester ave. would you like directions there?
1,"where's the nearest parking garage the nearest parking garage is dish parking at 550 alester ave. would you like directions there?  yes, please set directions via a route that avoids all heavy traffic if possible.",it looks like there is a road block being reported on the route but i will still find the quickest route to 550 alester ave.
2,"where's the nearest parking garage the nearest parking garage is dish parking at 550 alester ave. would you like directions there?  yes, please set directions via a route that avoids all heavy traffic if possible.  it looks like there is a road block being reported on the route but i will still find the quickest route to 550 alester ave.  thanks so much for your help.",you're very welcome!
3,where is the nearest gas station?,there is a 76 4 miles away.
4,where is the nearest gas station? there is a 76 4 miles away. what is the address?,the 76 gas station is located at 91 el camino real. it is 4 miles away through moderate traffic
5,where is the nearest gas station? there is a 76 4 miles away. what is the address? the 76 gas station is located at 91 el camino real. it is 4 miles away through moderate traffic thanks!,anytime!
6,show me the closest location where i can get chinese food,"the closest chinese restaurant is pf changs, located 5 miles away."
7,"show me the closest location where i can get chinese food the closest chinese restaurant is pf changs, located 5 miles away.  ok, please give me an address and directions via a route that avoids all heavy traffic.",p.f. changs route set to 669 el camino real with only moderate traffic noted.
8,"show me the closest location where i can get chinese food the closest chinese restaurant is pf changs, located 5 miles away.  ok, please give me an address and directions via a route that avoids all heavy traffic.  p.f. changs route set to 669 el camino real with only moderate traffic noted.  thank you","you're welcome. drive safely, and enjoy."
9,"hi, please set up a reminder for my dinner on the 11th at 4pm with my sister. thanks!",set! have a good time
10,what time is dinner and who is it with?,dinner is at 7 pm with jon.
11,"what time is dinner and who is it with? dinner is at 7 pm with jon. okay, perfect! thanks.",you're welcome
12,schedule dentist appointment,when is your dentist appointment
13,schedule dentist appointment when is your dentist appointment it is on sunday at 2 pm.,i have put on your calendar a dentist appointment on sunday at 2 pm.
14,check forecast for new york,"the weather this week will be hail and rain on thursday and sunday, with the lowest temperature being 20f and the highest 90f, monday will be the only hot day."
15,"check forecast for new york the weather this week will be hail and rain on thursday and sunday, with the lowest temperature being 20f and the highest 90f, monday will be the only hot day.  will it be overcast on friday?",on friday it will be cloudy on new york
16,"check forecast for new york the weather this week will be hail and rain on thursday and sunday, with the lowest temperature being 20f and the highest 90f, monday will be the only hot day.  will it be overcast on friday? on friday it will be cloudy on new york thank you!",you're welcome!
17,will it be warm in camarillo over the next 2 days?,"no, it's not gonna be warm in camarillo over the next 2 days"
18,"will it be warm in camarillo over the next 2 days? no, it's not gonna be warm in camarillo over the next 2 days thank you car!",you are very welcome
19,what's the highest temperature for this week,what location do you want to know the highest temperature?
20,"what's the highest temperature for this week what location do you want to know the highest temperature? menlo park, please",on friday in menlo park it will be a high of 100f.
21,"what's the highest temperature for this week what location do you want to know the highest temperature? menlo park, please on friday in menlo park it will be a high of 100f. excellent, that's very helpful.",you are very welcome.
22,will there be hail in mountain view today?,there will be clear skies today in mountain view.
23,will there be hail in mountain view today? there will be clear skies today in mountain view. thanks.,anytime.
24,will the weather be warm in menlo park on sunday?,the highest temperature on sunday is 30f in menlo park
25,will the weather be warm in menlo park on sunday? the highest temperature on sunday is 30f in menlo park thanks.,you are welcome.
26,what is the weather like today and tomorrow,what city would you like the 2 day forecast for?
27,what is the weather like today and tomorrow what city would you like the 2 day forecast for? i need to know if there is a blizzard in redwood city today.,there is no blizzard in redwood city today.
28,what is the weather like today and tomorrow what city would you like the 2 day forecast for? i need to know if there is a blizzard in redwood city today. there is no blizzard in redwood city today. thanks.,you are welcome.
29,get me directions to the nearest shopping mall,the nearest shopping mall is stanford shopping center. it's located 3 miles away and there is no traffic to reach it
30,get me directions to the nearest shopping mall the nearest shopping mall is stanford shopping center. it's located 3 miles away and there is no traffic to reach it sounds great. thanks.,you're welcome!
31,remind me that i have a meeting at work on the 12th at 5 pm in conference room 100,"okay setting a reminder for you work meeting, on the 12th at 5 pm, in conference room 100."
32,where are the nearest coffee shops,"the nearby coffee shops are teavana which is 6 miles away, and peets coffee which is 3 miles away."
33,"where are the nearest coffee shops the nearby coffee shops are teavana which is 6 miles away, and peets coffee which is 3 miles away. please give me an address and directions to the peets coffee, and take the fastest route available.",peets coffee is located at 9981 archuleta ave. but a car collision is nearby on the route. i will try to find the quickest route possible.
34,"where are the nearest coffee shops the nearby coffee shops are teavana which is 6 miles away, and peets coffee which is 3 miles away. please give me an address and directions to the peets coffee, and take the fastest route available.  peets coffee is located at 9981 archuleta ave. but a car collision is nearby on the route. i will try to find the quickest route possible.  thanks for all the help.",you're welcome!
35,what is the date of football and who is coming?,"you have four football activities scheduled; one on the 5th with john, on the 10th with marie, one on the 16th with alex, and one on monday with father."
