inputs,outputs
"get me the address of a chinese restaurant around this area. the closest chinese restaurant i have is Starbucks#distance away. would you like more info? no need, it will work fine, please pick a route to avoid all Shell#traffic_info and let's go there setting gps on route to avoid all Shell#traffic_info. thank you, what is the address?",chinese_restaurant#poi's address is 113 arbol dr.
when is my optometrist's appointment on the 12th,your optometrist's appointment is at doctor_appointment#time.
"please give me the address and directions for a hotel within 4 miles of here, avoiding all The_Westin#traffic_info.",travelers lodge is 1 mile away at 333 arbol dr. with Travelers_Lodge#traffic_info noted.
"where can i get some tea. i have a place called coffee_or_tea_place#poi that serves tea. would you like more info? yes, please! send me the fastest route with Stanford_Oval_Parking#traffic_info",the address to philz is 583 alester ave. i am now setting gps for fastest route with Stanford_Oval_Parking#traffic_info.
what time and date is my doctor appointment? two doctor appointments are set in your calendar; one on the 1st on 6 pm and one on doctor_appointment#date at 2 pm.  thanks.,my pleasure.
where is the nearest hotel,the nearest hotel is the clement hotel The_Clement_Hotel#distance away.
what is the weather forecast like in the city what city would you like the forecast for? san francisco on fresno#sunday. fresno#sunday's forecast is calling for a blizzard in san francisco with lows near 40 and highs in the 60s.  thank you car!,you're welcome anytime.
what is the weather forecast like in the city what city would you like the forecast for? san francisco on fresno#sunday.,fresno#sunday's forecast is calling for a blizzard in san francisco with lows near 40 and highs in the 60s.
i'd like a chinese restaurant,we're 7 miles away from panda express but there is a home#traffic_info
"car find me a grocery store within home#distance from my location with the shortest distance. the closest grocery store is safeway, 5677_southwest_4th_street#distance away at 452 arcadia pl. would you like directions there? yes, please direct me via the shortest distance.  setting navigation to safeway now; there is Cafe_Venetia#traffic_info. thanks!","no problem, i'm here to assist you!"
"where's the closest place to park the closest parking garage is Sigona_Farmers_Market#distance away. would you like the address and name of it? yes please. the parking garage is the webster garage, Webster_Garage#distance away at 880 ames ct thanks so much.",happy to help!
look up brentwood and find out if it will drizzle on brentwood#sunday? the forecast does not call for drizzle in brentwood this brentwood#sunday thanks.,you are welcome.
what is the weather report for durham today and tomorrow?,in durham on monday there will be a blizzard and on atherton#tuesday misty.
what is the weather forecast for exeter#wednesday through tuesday of next week what city can i give you the forecast for? please tell me if there will be any drizzle in boston on exeter#tuesday. the forecast does not predict any drizzle in boston on exeter#tuesday. thanks no problem.  until next time.,bye.
give me the weekly weather forecast,please tell me what city you would like the weather forecast for?
"find directions to home i do not have directions for home at this moment. my home is within 3 miles, does this help? do you mean you want to go at tom's house? it's the only private address i have in a 3 miles range. yes please, that will do.  i've marked the address on your gps, toms_house#address thank you there is currently toms_house#traffic_info on the way to tom's house.  thank you car, let's go on the quickest route!","you're welcome, just follow your gps now, i've picked for you the fastest route"
schedule a swimming activity with marie for friday at 1pm.,reminder for swimming with marie on friday at 1pm is set.
"is it gonna be cloudy in new york today and tomorrow? there are clear skies in new york today, but it will be cloudy tomorrow.  thank you very much car!",you're welcome!
"check the weather for the 7 day forecast what city shall i retrieve the 7 day forecast of? manhattan, please.  the forecast for manhattan for the next 7 days is monday, clear skies, low of 70f and high of 80f, tuesday lowest temperature of 70f and high of 90f, wednesday rain with low of 30f and high of 50f, thursday drizzle with low of 30f and high of 40f, friday hail, low of 60f and high of 70f, saturday rain low of 40f and high of 60f and fresno#sunday lowest temperature low of 60f and high of 70f thanks.",you are welcome!
is it raining in grand rapids currently? it is not raining in grand rapids right now. thank you very much.,glad to help
when is my next conference,"ok, your next conference is on conference#date at 1 pm."
please show me the weekly weather report what city can i give you the weekly weather report about? i would like to know the weekly weather for mountain view please.,mountain view's forecast for next week includes rain with hot and humid weather. the temperature is going to be high in 90s with lows in the 30s.
set a reminder for lab work on the 12th lab work at 12th it is at 7 pm i have set a reminder to have lab work done on the 12th at 7 pm.  thank you.,no problem
what is the agenda for the conference? the purpose of the conference is to conference#agenda. okay perfect. what day and time is the conference on?,the conference is set for the 3rd at swimming_activity#time.
where does my friend live?,jill's house is The_Westin#distance away at 347 alta mesa ave: would you like me to set the navigation to go there?
tomorrow in inglewood will it be windy? wind is not in inglewood's forecast for tomorrow thank you,you are very welcome
set a reminder that i have a lab appointment with my aunt next wednesday at 1pm i have scheduled a lab appointment at 1pm next wednesday with your aunt. thank you!,"your reminder has been scheduled, thank you"
"where can i get pizza? i have a pizza shop located toms_house#distance away named pizza my heart. need more info? is there any within Civic_Center_Garage#distance? no there is not.  ok, would you give me an address and directions to pizza_restaurant#poi?","pizza_restaurant#poi is at 528 anton ct, directions are on the screen."
"locate a parking garage around my current location. stanford oval parking is Sigona_Farmers_Market#distance away. is it the quickest route? there is a Stanford_Oval_Parking#traffic_info but it is the only option i currently have. what is the address? parking_garage#poi is located at 610 amarillo ave. do you need me to set the navigation? yes, please. thank you.",you are welcome
set a reminder for tennis,reminder for event tennis set.
which one is gonna be the lowest temperature today in new york? the lowest temperature in new york will be 20f on monday and durham#wednesday. thanks.,anytime.
"can you give me directions to the nearest starbucks i do not have a starbucks nearby, but there is a philz coffee and tea place Philz#distance away, would you like more information? yes, please, check if there is a route with no traffic and send me its address on the screen","unfortunately philzis the only coffee or tea place that i can find. it is located at 583 alester ave, there is Philz#traffic_info on this route"
"will it be humid in inglewood during the next few days? today is dry, boston#wednesday will have clear skies, and there will be drizzle in inglewood on tuesday.  thanks.",anytime.
"where does my friend live? jill lives at jills_house#address. please send me her address on screen and pick a route with Dish_Parking#traffic_info to get there, thank you! there is moderate traffic on our way but we're just Dish_Parking#distance away, we should be able to reach there in about 5 minutes thank you you are welcome let's go!",ok. navigating to jills_house#address now.
find what time my lab appointment is for,"you have 3 appointments doctor, optometrist and dentist"
where is the closest shopping center?,the nearest shopping center is Ravenswood_Shopping_Center#distance away.
"what's the weather forecast going to be for each day this upcoming week is it going to snow where are you wanting to know the snow forecast for? new york, please. snow is predicted in new york on menlo_park#tuesday of this upcoming week. that's good to know.",you are welcome.
what is the weather going to be like today and tomorrow,what city are you in?
update me on the weekly weather forecast for this week,what city would you like to hear the weather forecast for?
"i need to see the dentist this month the 6th at 7pm with jon.  okay, scheduling a dentist appointment with jon for the 6th at 7pm. thank you.",you're welcome.
will there be frost in durham next week?,there won't be frost in durham during the next week
navigate to the nearest hotel,there is comfort inn in Comfort_Inn#distance: do you want me to set the gps to go there?
find me a local hotel in my area. hotel keen and rest_stop#poi	 are near. which has less traffic? there is Palo_Alto_Cafe#traffic_info on the way to hotel keen and heavy traffic to the clement hotel. should we go to hotel keen? yes sounds good.,happy to be of service. directions will begin now.
are there any chinese places i can get to with The_Clement_Hotel#traffic_info within 5 miles of here?,p.f.changs at 669 el camino real is 1 mile away trough P.F._Changs#traffic_info
is there a chance of snow in this weeks weather forecast where do you want to know about snow for? what city? downtown chicago please.,i see no snow but there is a blizzard scheduled on exeter#thursday in downtown chicago.
"take me to my friends house i don't have your friends house in my memory, sorry, do you mean you want to go home? yes please. navigating you home. what is the address? your home is at home#address. thanks.",you're welcome!
on what day and time should i be taking my medicine? taking medicine is scheduled for taking_medicine#date at 3 pm and on the 4th at 1 pm.  thanks.,you're welcome
"what's the forecast for today for what location? grand rapids, will there be frost today?","no, no frost, there will be rain today in grand rapids"
set a reminder for tennis,reminder for event tennis set.
where is the closest shopping center? the nearest shopping center is Ravenswood_Shopping_Center#distance away. what is the address?,shopping_center#poi is at 434 arastradero rd.
which day is my appointment on,your optometrist appointment is on optometrist_appointment#date.
"what's the temperature going to be like this week what city are you inquiring about? san francisco. the temperature in san francisco this week will be: low of 90 and a high of 100f on monday, low of 40 and a high of 60f on tuesday, low of 40 and a high of 50f on wednesday, low of 70f and a high of 90f on thursday, low of 20f and a high of 40f on friday, low of 40 and a high of 60f on saturday, and a low of 20 and a high of 30f on manhattan#sunday. wow, thank you.",my pleasure.
"what are the directions to the mall there is town and country Palo_Alto_Medical_Foundation#distance away: would you like to go there? yes, please. navigating to shopping_center#poi. give me the address. shopping_center#poi is located at 383 university avenue.  thanks!",you're welcome!
"i need a reminder for the dinner later this week.  sure, what time is your dinner at? set the dinner for 10 am with marie. later this week like i said before, thanks. i will set a reminder for dinner at 10 am with marie later this week, what day exactly?  for saturday please. setting a reminder for your dinner with marie at 10 am on saturday. great, thanks.",you're welcome
"what's the weekly forecast for cleveland it will be warm most of the week. at first, it will be foggy, then hot, then dry, then wet, then foggy, and then stormy. is that helpful? sorry, i might have misspoken. - i actually want to know what the lowest temperature will be in cleveland during the next week.  it will be 40f on redwood_city#friday in cleveland. that's perfect. thanks.","you're welcome, have a great day."
when will my lab results be in,"you have a lab appointment this lab_appointment#date at 7 pm. i don't know when labs wil be available, though."
tomorrow will there be frost in manhattan? there will not be frost in manhattan tomorrow. sounds great. thanks.,glad i could help.
