,inputs,outputs,prediction
0,remind me to take my pills,what time do you need to take your pills?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> what <pad> to need your to the <unk> <eos>
1,remind me to take my pills what time do you need to take your pills? i need to take my pills at 7 pm.,ok setting your medicine appointment for dinner#time,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> the welcome <eos>
2,what gas stations are here?,there is a gas_station#poi.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> we're focus away from chevron <eos>
3,what gas stations are here? there is a gas_station#poi. that's good! please pick the quickest route to get there and avoid all heavy traffic!,taking you to gas_station#poi.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're the safely to welcome <eos>
4,what gas stations are here? there is a gas_station#poi. that's good! please pick the quickest route to get there and avoid all heavy traffic! taking you to gas_station#poi. what is the address?,Chevron#address is the address for gas_station#poi gas station,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're the safely to welcome <eos>
5,what gas stations are here? there is a gas_station#poi. that's good! please pick the quickest route to get there and avoid all heavy traffic! taking you to gas_station#poi. what is the address? Chevron#address is the address for gas_station#poi gas station perfect. thank you,"you're welcome, happy to help.",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're the safely to welcome <eos>
6,what's the temperature going to be like on friday,what city should i find lab_appointment#date's temperature for?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> give you the temperature inquiring <unk> <eos>
7,what's the temperature going to be like on friday what city should i find lab_appointment#date's temperature for? alhambra,on lab_appointment#date there will be clear skies in alhambra,<pad> <pad> <pad> temperature in temperature temperature in alhambra a in low temperature 40f 40f and high of 40s <eos>
8,what's the temperature going to be like on friday what city should i find lab_appointment#date's temperature for? alhambra on lab_appointment#date there will be clear skies in alhambra and the temperature?,it will be between 20dinner#agenda30f in alhambra on lab_appointment#date.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> and <pad> you're 40s <eos>
9,what's the temperature going to be like on friday what city should i find lab_appointment#date's temperature for? alhambra on lab_appointment#date there will be clear skies in alhambra and the temperature? it will be between 20dinner#agenda30f in alhambra on lab_appointment#date. thank you.,you're welcome.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> and <pad> you're 40s <eos>
10,give me directions to the closest grocery store,there are grocery_store#poi Mandarin_Roots#distance away and grocery_store#poi Palo_Alto_Garage_R#distance away. where do we go?,we're <pad> away from safeway but there is heavy traffic in this moment do i set the gps to <eos>
11,give me directions to the closest grocery store there are grocery_store#poi Mandarin_Roots#distance away and grocery_store#poi Palo_Alto_Garage_R#distance away. where do we go? i need the one that avoids all heavy traffic.,grocery_store#poi is located Palo_Alto_Garage_R#distance away with Mandarin_Roots#traffic_info. it's located at Sigona_Farmers_Market#address.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> is the <unk> <eos>
12,give me directions to the closest grocery store there are grocery_store#poi Mandarin_Roots#distance away and grocery_store#poi Palo_Alto_Garage_R#distance away. where do we go? i need the one that avoids all heavy traffic. grocery_store#poi is located Palo_Alto_Garage_R#distance away with Mandarin_Roots#traffic_info. it's located at Sigona_Farmers_Market#address.  thank you.,"great, glad i could help. have a great day. we will be there soon.",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> is the <unk> <eos>
13,what will the weather in fresno be in the next 48 hours?,the weather in fresno over the next 48 hours will be cloudy with snow.,<pad> <pad> the in in seattle in the weather weather the along weather be weather temperature temperature or for <eos>
14,what will the weather in fresno be in the next 48 hours? the weather in fresno over the next 48 hours will be cloudy with snow. thanks,you are welcome,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> are welcome <eos>
15,where is home,"home is where is your heart is, at home#address",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> do coffee_or_tea_place#poi you is the <unk> <eos>
16,"where is home  home is where is your heart is, at home#address okay, how far away am i and send me the quickest route",you are Palo_Alto_Medical_Foundation#distance away from home with Pizza_Chicago#traffic_info noted.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> fastest a for <unk> <eos>
17,"where is home  home is where is your heart is, at home#address okay, how far away am i and send me the quickest route you are Palo_Alto_Medical_Foundation#distance away from home with Pizza_Chicago#traffic_info noted.  thank you very much car!",you are welcome driver!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> fastest a for <unk> <eos>
18,"where is home  home is where is your heart is, at home#address okay, how far away am i and send me the quickest route you are Palo_Alto_Medical_Foundation#distance away from home with Pizza_Chicago#traffic_info noted.  thank you very much car! you are welcome driver! no response needed",glad to help,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> fastest a for <unk> <eos>
19,where is the closest grocery store,we are Pizza_Chicago#distance away from grocery_store#poi and from grocery_store#poi: which one do you prefer?,<pad> <pad> <pad> <pad> <pad> away <pad> medical <pad> <pad> is me the the and and store is near <eos>
20,where is the closest grocery store we are Pizza_Chicago#distance away from grocery_store#poi and from grocery_store#poi: which one do you prefer? safeway.,grocery_store#poi is located at Safeway#address.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> welcome on route to <unk> <eos>
