0,where's the nearest parking garage,the nearest parking garage is dish parking at 550 alester ave. would you like directions there? 
1,"yes, please set directions via a route that avoids all heavy traffic if possible. ",it looks like there is a road block being reported on the route but i will still find the quickest route to 550 alester ave. 
2,thanks so much for your help. ,you're very welcome!
3,where's the nearest parking garage,the nearest parking garage is dish parking at 550 alester ave. would you like directions there? 
4,"yes, please set directions via a route that avoids all heavy traffic if possible. ",it looks like there is a road block being reported on the route but i will still find the quickest route to 550 alester ave. 
5,thanks so much for your help. ,you're very welcome!
6,where's the nearest parking garage,the nearest parking garage is dish parking at 550 alester ave. would you like directions there? 
7,"yes, please set directions via a route that avoids all heavy traffic if possible. ",it looks like there is a road block being reported on the route but i will still find the quickest route to 550 alester ave. 
8,thanks so much for your help. ,you're very welcome!
9,where's the nearest parking garage,the nearest parking garage is dish parking at 550 alester ave. would you like directions there? 
10,"yes, please set directions via a route that avoids all heavy traffic if possible. ",it looks like there is a road block being reported on the route but i will still find the quickest route to 550 alester ave. 
11,thanks so much for your help. ,you're very welcome!
12,where's the nearest parking garage,the nearest parking garage is dish parking at 550 alester ave. would you like directions there? 
13,"yes, please set directions via a route that avoids all heavy traffic if possible. ",it looks like there is a road block being reported on the route but i will still find the quickest route to 550 alester ave. 
14,thanks so much for your help. ,you're very welcome!
15,where's the nearest parking garage,the nearest parking garage is dish parking at 550 alester ave. would you like directions there? 
16,"yes, please set directions via a route that avoids all heavy traffic if possible. ",it looks like there is a road block being reported on the route but i will still find the quickest route to 550 alester ave. 
17,thanks so much for your help. ,you're very welcome!
18,where is the nearest gas station?,there is a 76 4 miles away.
19,what is the address?,the 76 gas station is located at 91 el camino real. it is 4 miles away through moderate traffic
20,thanks!,anytime!
21,where is the nearest gas station?,there is a 76 4 miles away.
22,what is the address?,the 76 gas station is located at 91 el camino real. it is 4 miles away through moderate traffic
23,thanks!,anytime!
24,where is the nearest gas station?,there is a 76 4 miles away.
25,what is the address?,the 76 gas station is located at 91 el camino real. it is 4 miles away through moderate traffic
26,thanks!,anytime!
27,where is the nearest gas station?,there is a 76 4 miles away.
28,what is the address?,the 76 gas station is located at 91 el camino real. it is 4 miles away through moderate traffic
29,thanks!,anytime!
30,where is the nearest gas station?,there is a 76 4 miles away.
31,what is the address?,the 76 gas station is located at 91 el camino real. it is 4 miles away through moderate traffic
32,thanks!,anytime!
33,where is the nearest gas station?,there is a 76 4 miles away.
34,what is the address?,the 76 gas station is located at 91 el camino real. it is 4 miles away through moderate traffic
35,thanks!,anytime!
36,show me the closest location where i can get chinese food,"the closest chinese restaurant is pf changs, located 5 miles away. "
37,"ok, please give me an address and directions via a route that avoids all heavy traffic. ",p.f. changs route set to 669 el camino real with only moderate traffic noted. 
38,thank you,"you're welcome. drive safely, and enjoy. "
39,show me the closest location where i can get chinese food,"the closest chinese restaurant is pf changs, located 5 miles away. "
40,"ok, please give me an address and directions via a route that avoids all heavy traffic. ",p.f. changs route set to 669 el camino real with only moderate traffic noted. 
41,thank you,"you're welcome. drive safely, and enjoy. "
42,show me the closest location where i can get chinese food,"the closest chinese restaurant is pf changs, located 5 miles away. "
43,"ok, please give me an address and directions via a route that avoids all heavy traffic. ",p.f. changs route set to 669 el camino real with only moderate traffic noted. 
44,thank you,"you're welcome. drive safely, and enjoy. "
45,show me the closest location where i can get chinese food,"the closest chinese restaurant is pf changs, located 5 miles away. "
46,"ok, please give me an address and directions via a route that avoids all heavy traffic. ",p.f. changs route set to 669 el camino real with only moderate traffic noted. 
47,thank you,"you're welcome. drive safely, and enjoy. "
48,show me the closest location where i can get chinese food,"the closest chinese restaurant is pf changs, located 5 miles away. "
49,"ok, please give me an address and directions via a route that avoids all heavy traffic. ",p.f. changs route set to 669 el camino real with only moderate traffic noted. 
50,thank you,"you're welcome. drive safely, and enjoy. "
51,show me the closest location where i can get chinese food,"the closest chinese restaurant is pf changs, located 5 miles away. "
52,"ok, please give me an address and directions via a route that avoids all heavy traffic. ",p.f. changs route set to 669 el camino real with only moderate traffic noted. 
53,thank you,"you're welcome. drive safely, and enjoy. "
54,"hi, please set up a reminder for my dinner on the 11th at 4pm with my sister. thanks!",set! have a good time
55,"hi, please set up a reminder for my dinner on the 11th at 4pm with my sister. thanks!",set! have a good time
56,what time is dinner and who is it with?,dinner is at 7 pm with jon.
57,"okay, perfect! thanks.",you're welcome
58,what time is dinner and who is it with?,dinner is at 7 pm with jon.
59,"okay, perfect! thanks.",you're welcome
60,what time is dinner and who is it with?,dinner is at 7 pm with jon.
61,"okay, perfect! thanks.",you're welcome
62,what time is dinner and who is it with?,dinner is at 7 pm with jon.
63,"okay, perfect! thanks.",you're welcome
64,schedule dentist appointment,when is your dentist appointment
65,it is on sunday at 2 pm.,i have put on your calendar a dentist appointment on sunday at 2 pm. 
66,schedule dentist appointment,when is your dentist appointment
67,it is on sunday at 2 pm.,i have put on your calendar a dentist appointment on sunday at 2 pm. 
68,schedule dentist appointment,when is your dentist appointment
69,it is on sunday at 2 pm.,i have put on your calendar a dentist appointment on sunday at 2 pm. 
70,schedule dentist appointment,when is your dentist appointment
71,it is on sunday at 2 pm.,i have put on your calendar a dentist appointment on sunday at 2 pm. 
72,check forecast for new york,"the weather this week will be hail and rain on thursday and sunday, with the lowest temperature being 20f and the highest 90f, monday will be the only hot day. "
73,will it be overcast on friday?,on friday it will be cloudy on new york
74,thank you!,you're welcome!
