,inputs,outputs,prediction
0,remind me to take my pills,what time do you need to take your pills?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> take <pad> medicine <pad> <unk> <eos>
1,remind me to take my pills what time do you need to take your pills? i need to take my pills at 7 pm.,ok setting your medicine appointment for dinner#time,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> reminder <pad> <pad> <pad> <pad> <pad> <pad> there happy your <unk> <eos>
2,what gas stations are here?,there is a gas_station#poi.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> we're <pad> away from <unk> <eos>
3,what gas stations are here? there is a gas_station#poi. that's good! please pick the quickest route to get there and avoid all heavy traffic!,taking you to gas_station#poi.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <unk> <pad> <pad> traffic traffic happy that <unk> <eos>
4,what gas stations are here? there is a gas_station#poi. that's good! please pick the quickest route to get there and avoid all heavy traffic! taking you to gas_station#poi. what is the address?,Chevron#address is the address for gas_station#poi gas station,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <unk> <pad> <pad> traffic traffic happy that <unk> <eos>
5,what gas stations are here? there is a gas_station#poi. that's good! please pick the quickest route to get there and avoid all heavy traffic! taking you to gas_station#poi. what is the address? Chevron#address is the address for gas_station#poi gas station perfect. thank you,"you're welcome, happy to help.",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <unk> <pad> <pad> traffic traffic happy that <unk> <eos>
6,what's the temperature going to be like on friday,what city should i find lab_appointment#date's temperature for?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> what city do you want the weather <unk> <eos>
7,what's the temperature going to be like on friday what city should i find lab_appointment#date's temperature for? alhambra,on lab_appointment#date there will be clear skies in alhambra,<pad> <pad> <pad> <pad> <pad> alhambra <pad> in alhambra week week highs highs the <unk> lows high of <unk> <eos>
8,what's the temperature going to be like on friday what city should i find lab_appointment#date's temperature for? alhambra on lab_appointment#date there will be clear skies in alhambra and the temperature?,it will be between 20dinner#agenda30f in alhambra on lab_appointment#date.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> week <pad> <pad> <pad> <pad> <pad> <pad> <pad> you great <unk> <eos>
9,what's the temperature going to be like on friday what city should i find lab_appointment#date's temperature for? alhambra on lab_appointment#date there will be clear skies in alhambra and the temperature? it will be between 20dinner#agenda30f in alhambra on lab_appointment#date. thank you.,you're welcome.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> week <pad> <pad> <pad> <pad> <pad> <pad> <pad> you great <unk> <eos>
10,give me directions to the closest grocery store,there are grocery_store#poi Mandarin_Roots#distance away and grocery_store#poi Palo_Alto_Garage_R#distance away. where do we go?,we're <pad> away from away but there is this in this <unk> do i set the gps to go <eos>
11,give me directions to the closest grocery store there are grocery_store#poi Mandarin_Roots#distance away and grocery_store#poi Palo_Alto_Garage_R#distance away. where do we go? i need the one that avoids all heavy traffic.,grocery_store#poi is located Palo_Alto_Garage_R#distance away with Mandarin_Roots#traffic_info. it's located at Sigona_Farmers_Market#address.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> route you're <unk> <eos>
12,give me directions to the closest grocery store there are grocery_store#poi Mandarin_Roots#distance away and grocery_store#poi Palo_Alto_Garage_R#distance away. where do we go? i need the one that avoids all heavy traffic. grocery_store#poi is located Palo_Alto_Garage_R#distance away with Mandarin_Roots#traffic_info. it's located at Sigona_Farmers_Market#address.  thank you.,"great, glad i could help. have a great day. we will be there soon.",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> route you're <unk> <eos>
13,what will the weather in fresno be in the next 48 hours?,the weather in fresno over the next 48 hours will be cloudy with snow.,the next 48 in in seattle the predicted in the the along be cleat <unk> the temperature day range <eos>
14,what will the weather in fresno be in the next 48 hours? the weather in fresno over the next 48 hours will be cloudy with snow. thanks,you are welcome,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> are this <unk> <eos>
15,where is home,"home is where is your heart is, at home#address",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> the you want away go <unk> <eos>
16,"where is home  home is where is your heart is, at home#address okay, how far away am i and send me the quickest route",you are Palo_Alto_Medical_Foundation#distance away from home with Pizza_Chicago#traffic_info noted.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> happy to <unk> <eos>
