,inputs,outputs,prediction
0,where is home,"home is where is your heart is, at 56 cadwell street","['navigating', 'you', 'home', '<unk>', '<eos>']"
1,i need gas.,valero is 4 miles away.,"['<pad>', '<pad>', 'to', '<unk>', '<eos>']"
2,schedule meeting,schedule a meeting for what time and day?,"['your', 'schedule', 'is', 'empty', '<eos>']"
3,when's my tennis match,your tennis match is tuesday at 11am.,"['<pad>', 'you', '<unk>', 'welcome', '<eos>']"
4,i need shopping center.,there is a shopping center 3 miles from you. the address is 338 alester avenue. would you like directions?,"['<pad>', 'you', 'to', '<unk>', '<eos>']"
5,what's the weather forecast,what city would you like the forecast for?,"['in', 'what', 'city', '<unk>', '<eos>']"
6,find starbucks,the nearest starbucks is 3 miles away. there is a road block on its way so i already sent on your screen another route to reach faster,"['<pad>', 'you', 'to', '<unk>', '<eos>']"
7,directions to the mall,navigating you to town and country.,"['<pad>', '<unk>', 'welcome', '<unk>', '<eos>']"
8,check doctor's appointment date,your doctor appointment is on monday at 2 pm.,"['<pad>', '<pad>', 'to', '<unk>', '<eos>']"
9,info about football please.,your football  activity is on sunday at 9 am with your brother.,"['<pad>', 'you', 'to', '<unk>', '<eos>']"
10,schedule swimming time,what time do you want to go swimming,"['<pad>', 'you', 'to', '<unk>', '<eos>']"
11,what's the weather forecast,what city are you inquiring about?,"['in', 'what', 'city', '<unk>', '<eos>']"
12,what's the forecast report,what city do you want to hear the forecast report from?,"['in', 'what', 'city', '<unk>', '<eos>']"
13,navigate home,home is 5 miles away at 5671 barringer street.,"['navigating', 'you', 'home', '<unk>', '<eos>']"
14,find the nearest hotel,"the nearest hotel is hotel keen, it's 3 miles away. do you want its address?","['<pad>', 'you', 'to', '<unk>', '<eos>']"
15,find a coffee place,philz serves coffee and is 6 miles away at 583 alester ave.,"['<pad>', 'thank', 'you', '<unk>', '<eos>']"
16,check the weather forecast,what city do you want the weather for?,"['<pad>', '<unk>', 'welcome', '<unk>', '<eos>']"
17,where do i live?,home is listed as 56 caldwell street.,"['<pad>', 'you', 'to', '<unk>', '<eos>']"
18,i want tea.,we're 5 miles away from starbucks: do you like their tea?,"['<pad>', 'happy', 'to', '<unk>', '<eos>']"
19,directions to nearest barista,"the nearer cafe is cafe venetia, it's 2 miles away and there is a car collision nearby","['<pad>', '<unk>', 'welcome', '<unk>', '<eos>']"
20,closest coffee,"the closest coffee place is coupa but there is heavy traffic, would you like a different location?","['<pad>', 'you', 'welcome', '<unk>', '<eos>']"
21,search today's forecast,what city can i give you the weather forecast for?,"['<pad>', 'happy', 'to', 'help', '<eos>']"
22,is it raining today,what city would you like weather information about?,"['in', 'what', 'city', '<unk>', '<eos>']"
23,navigate home,there is moderate traffic on the 4 mile route home to 56 cadwell street,"['navigating', 'you', 'home', '<unk>', '<eos>']"
24,remind me to take my pills,what time do you need to take your pills?,"['<pad>', '<pad>', '<pad>', '<pad>', 'is', 'is', 'the', 'the', '<unk>', '<eos>']"
